Date,Value
2014-09-01,442689.0
2014-08-01,444132.0
2014-07-01,441506.0
2014-06-01,440328.0
2014-05-01,438605.0
2014-04-01,436730.0
2014-03-01,434018.0
2014-02-01,427554.0
2014-01-01,423937.0
2013-12-01,427827.0
2013-11-01,428205.0
2013-10-01,426522.0
2013-09-01,424384.0
2013-08-01,422818.0
2013-07-01,424000.0
2013-06-01,421678.0
2013-05-01,419491.0
2013-04-01,417151.0
2013-03-01,416983.0
2013-02-01,420654.0
2013-01-01,416542.0
2012-12-01,413585.0
2012-11-01,412170.0
2012-10-01,410386.0
2012-09-01,410686.0
2012-08-01,406141.0
2012-07-01,401097.0
2012-06-01,398777.0
2012-05-01,402726.0
2012-04-01,402931.0
2012-03-01,404246.0
2012-02-01,402736.0
2012-01-01,397866.0
2011-12-01,393874.0
2011-11-01,394965.0
2011-10-01,394047.0
2011-09-01,389662.0
2011-08-01,386329.0
2011-07-01,386295.0
2011-06-01,385357.0
2011-05-01,382666.0
2011-04-01,382397.0
2011-03-01,380543.0
2011-02-01,377071.0
2011-01-01,374280.0
2010-12-01,371303.0
2010-11-01,368877.0
2010-10-01,366675.0
2010-09-01,361516.0
2010-08-01,358749.0
2010-07-01,356308.0
2010-06-01,355760.0
2010-05-01,356189.0
2010-04-01,358169.0
2010-03-01,356026.0
2010-02-01,348453.0
2010-01-01,348415.0
2009-12-01,347748.0
2009-11-01,346477.0
2009-10-01,342865.0
2009-09-01,340103.0
2009-08-01,348823.0
2009-07-01,341937.0
2009-06-01,340420.0
2009-05-01,336089.0
2009-04-01,332395.0
2009-03-01,331405.0
2009-02-01,336960.0
2009-01-01,337819.0
2008-12-01,332902.0
2008-11-01,341433.0
2008-10-01,353910.0
2008-09-01,367045.0
2008-08-01,373866.0
2008-07-01,375974.0
2008-06-01,377677.0
2008-05-01,376189.0
2008-04-01,374766.0
2008-03-01,372677.0
2008-02-01,372211.0
2008-01-01,375736.0
2007-12-01,375731.0
2007-11-01,378172.0
2007-10-01,375105.0
2007-09-01,374596.0
2007-08-01,371253.0
2007-07-01,370161.0
2007-06-01,368650.0
2007-05-01,371023.0
2007-04-01,366067.0
2007-03-01,367745.0
2007-02-01,364185.0
2007-01-01,363393.0
2006-12-01,365061.0
2006-11-01,359543.0
2006-10-01,358802.0
2006-09-01,358891.0
2006-08-01,360651.0
2006-07-01,360175.0
2006-06-01,357580.0
2006-05-01,356240.0
2006-04-01,358092.0
2006-03-01,356172.0
2006-02-01,354495.0
2006-01-01,357814.0
2005-12-01,347730.0
2005-11-01,347504.0
2005-10-01,344697.0
2005-09-01,343419.0
2005-08-01,342818.0
2005-07-01,347368.0
2005-06-01,342841.0
2005-05-01,334757.0
2005-04-01,337992.0
2005-03-01,332419.0
2005-02-01,332804.0
2005-01-01,329799.0
2004-12-01,331902.0
2004-11-01,327892.0
2004-10-01,326726.0
2004-09-01,324668.0
2004-08-01,318997.0
2004-07-01,318587.0
2004-06-01,315017.0
2004-05-01,319002.0
2004-04-01,313569.0
2004-03-01,316972.0
2004-02-01,311444.0
2004-01-01,309266.0
2003-12-01,307384.0
2003-11-01,308587.0
2003-10-01,304857.0
2003-09-01,305947.0
2003-08-01,307768.0
2003-07-01,302821.0
2003-06-01,299679.0
2003-05-01,296411.0
2003-04-01,295656.0
2003-03-01,296352.0
2003-02-01,291188.0
2003-01-01,295302.0
2002-12-01,293812.0
2002-11-01,291475.0
2002-10-01,289646.0
2002-09-01,288428.0
2002-08-01,292593.0
2002-07-01,290427.0
2002-06-01,287401.0
2002-05-01,284987.0
2002-04-01,288827.0
2002-03-01,284257.0
2002-02-01,285061.0
2002-01-01,283583.0
2001-12-01,283704.0
2001-11-01,286960.0
2001-10-01,294613.0
2001-09-01,276095.0
2001-08-01,281423.0
2001-07-01,279522.0
2001-06-01,280393.0
2001-05-01,281546.0
2001-04-01,280798.0
2001-03-01,276473.0
2001-02-01,278799.0
2001-01-01,278911.0
2000-12-01,275727.0
2000-11-01,275928.0
2000-10-01,276973.0
2000-09-01,277523.0
2000-08-01,272954.0
2000-07-01,272638.0
2000-06-01,273440.0
2000-05-01,271418.0
2000-04-01,270998.0
2000-03-01,275214.0
2000-02-01,272026.0
2000-01-01,268091.0
1999-12-01,269876.0
1999-11-01,264883.0
1999-10-01,261825.0
1999-09-01,261352.0
1999-08-01,260253.0
1999-07-01,257441.0
1999-06-01,255472.0
1999-05-01,254738.0
1999-04-01,252418.0
1999-03-01,250657.0
1999-02-01,249510.0
1999-01-01,246891.0
1998-12-01,246577.0
1998-11-01,244307.0
1998-10-01,242531.0
1998-09-01,238542.0
1998-08-01,236412.0
1998-07-01,237423.0
1998-06-01,238958.0
1998-05-01,237055.0
1998-04-01,235976.0
1998-03-01,233043.0
1998-02-01,231664.0
1998-01-01,231605.0
1997-12-01,231197.0
1997-11-01,230486.0
1997-10-01,229822.0
1997-09-01,230284.0
1997-08-01,229317.0
1997-07-01,228738.0
1997-06-01,226048.0
1997-05-01,222906.0
1997-04-01,224588.0
1997-03-01,226136.0
1997-02-01,225409.0
1997-01-01,223524.0
1996-12-01,221898.0
1996-11-01,220989.0
1996-10-01,221039.0
1996-09-01,219240.0
1996-08-01,216355.0
1996-07-01,216374.0
1996-06-01,216059.0
1996-05-01,216304.0
1996-04-01,214644.0
1996-03-01,213855.0
1996-02-01,212011.0
1996-01-01,208731.0
1995-12-01,210434.0
1995-11-01,208661.0
1995-10-01,206157.0
1995-09-01,206978.0
1995-08-01,206529.0
1995-07-01,204959.0
1995-06-01,205507.0
1995-05-01,202993.0
1995-04-01,201048.0
1995-03-01,200230.0
1995-02-01,198383.0
1995-01-01,201583.0
1994-12-01,200670.0
1994-11-01,199723.0
1994-10-01,199579.0
1994-09-01,197754.0
1994-08-01,196157.0
1994-07-01,193763.0
1994-06-01,193196.0
1994-05-01,190940.0
1994-04-01,191632.0
1994-03-01,191588.0
1994-02-01,188077.0
1994-01-01,185128.0
1993-12-01,186339.0
1993-11-01,184746.0
1993-10-01,182910.0
1993-09-01,181800.0
1993-08-01,180692.0
1993-07-01,180759.0
1993-06-01,178201.0
1993-05-01,178445.0
1993-04-01,176766.0
1993-03-01,172328.0
1993-02-01,173770.0
1993-01-01,175078.0
1992-12-01,172995.0
1992-11-01,171025.0
1992-10-01,170681.0
1992-09-01,169407.0
1992-08-01,167797.0
1992-07-01,167305.0
1992-06-01,166098.0
1992-05-01,165617.0
1992-04-01,164759.0
1992-03-01,163747.0
1992-02-01,164260.0
1992-01-01,164083.0
